reactant_smi,product_smi
CC1=C(C=CC=C1OC)N1N=NNC1=O.CN(C=O)C.[H-].[Na+].CI,CC1=C(C=CC=C1OC)N1N=NN(C1=O)C
BrC1=C(C(=CC=C1)N)C.ClC(Cl)(OC(OC(Cl)(Cl)Cl)=O)Cl,BrC1=C(C(=CC=C1)N=C=O)C
[Cl-].[Al+3].[Cl-].[Cl-].[N-]=[N+]=[N-].[Na+].BrC1=C(C(=CC=C1)N=C=O)C.Cl,CC1=C(C=CC=C1Br)N1N=NNC1=O
CC1=C(C=CC=C1Br)N1N=NNC1=O.CN(C=O)C.[H-].[Na+].CI,CC1=C(C=CC=C1Br)N1N=NN(C1=O)C
CC1=C(C=CC=C1Br)N1N=NN(C1=O)C.N(=NC1(CCCCC1)C#N)C1(CCCCC1)C#N.BrN1C(CCC1=O)=O.ClC1=CC=CC=C1,BrCC1=C(C=CC=C1Br)N1N=NN(C1=O)C
BrCC1=C(C=CC=C1Br)N1N=NN(C1=O)C.C[O-].[Na+].C([O-])(O)=O.[Na+],COCC1=C(C=CC=C1Br)N1N=NN(C1=O)C
COCC1=C(C=CC=C1Br)N1N=NN(C1=O)C.CB(O)O.[F-].[Cs+],COCC1=C(C=CC=C1C)N1N=NN(C1=O)C
COCC1=C(C=CC=C1C)N1N=NN(C1=O)C.Br.C(C)(=O)O,BrCC1=C(C=CC=C1C)N1N=NN(C1=O)C
COCC1=C(C=CC=C1Br)N1N=NN(C1=O)C.C1(CC1)B(O)O.[F-].[Cs+],COCC1=C(C=CC=C1C1CC1)N1N=NN(C1=O)C
COCC1=C(C=CC=C1C1CC1)N1N=NN(C1=O)C.Br.C(C)(=O)O,BrCC1=C(C=CC=C1C1CC1)N1N=NN(C1=O)C
BrCC1=C(C=CC=C1C)N1N=NN(C1=O)C.CC(=O)C=1C=CC=C(C1)O.C([O-])([O-])=O.[K+].[K+].C(C)#N,C(C)(=O)C=1C=C(OCC2=C(C=CC=C2C)N2N=NN(C2=O)C)C=CC1
BrCC1=C(C=CC=C1C)N1N=NN(C1=O)C.CC1=C(C=C(C=C1)C(=O)C)O.C([O-])([O-])=O.[K+].[K+].C(C)#N,C(C)(=O)C=1C=CC(=C(OCC2=C(C=CC=C2C)N2N=NN(C2=O)C)C1)C
C(C)(=O)C=1C=CC(=C(OCC2=C(C=CC=C2C)N2N=NN(C2=O)C)C1)C.Cl.NO.N1=CC=CC=C1,ON=C(C)C=1C=CC(=C(OCC2=C(C=CC=C2C)N2N=NN(C2=O)C)C1)C
BrCC1=C(C=CC=C1OC)N1N=NN(C1=O)C.C1(O)=CC(O)=CC=C1.C([O-])([O-])=O.[K+].[K+].C(C)#N,OC=1C=C(OCC2=C(C=CC=C2OC)N2N=NN(C2=O)C)C=CC1
BrCC1=C(C=CC=C1C)N1N=NN(C1=O)C.C1(O)=CC(O)=CC=C1.C([O-])([O-])=O.[K+].[K+].C(C)#N,OC=1C=C(OCC2=C(C=CC=C2C)N2N=NN(C2=O)C)C=CC1.OC=1C=C(OCC2=C(C=CC=C2C)N2N=NN(C2=O)C)C=CC1
COC=1C=C(C(=O)O)C=CC1.CN(C=O)C.C(C(=O)Cl)(=O)Cl,CON(C(C1=CC(=CC=C1)OC)=O)C
CON(C(C1=CC(=CC=C1)OC)=O)C.O1CCCC1.C(C)[Mg]Br,COC=1C=C(C=CC1)C(CC)=O
COC=1C=C(C=CC1)C(CC)=O.C(C)(=O)O.Br,OC=1C=C(C=CC1)C(CC)=O
CON(C(C1=CC(=CC=C1)OC)=O)C.O1CCCC1.C1(CC1)[Mg]Br,C1(CC1)C(=O)C1=CC(=CC=C1)OC
BrCC1=C(C=CC=C1C)N1N=NN(C1=O)C.BrC=1C=C(C=CC1)O.C([O-])([O-])=O.[K+].[K+].C(C)#N,BrC=1C=C(OCC2=C(C=CC=C2C)N2N=NN(C2=O)C)C=CC1
OC=1C=C(C=CC1)C(CC)=O.Cl.CON.Cl.C(O)([O-])=O.[Na+],CON=C(CC)C=1C=C(C=CC1)O
COC=1C=C(C(=O)N(C)OC)C=CC1.O1CCCC1.C(CCC)[Mg]Cl,COC=1C=C(C=CC1)C(CCCC)=O
COC=1C=C(C=CC1)C(CCCC)=O.C(C)(=O)O.Br,OC=1C=C(C=CC1)C(CCCC)=O
C1(CC1)C(=O)C1=CC(=CC=C1)OC.Br.BrCC1=C(C=CC=C1C)N1N=NN(C1=O)C.C([O-])([O-])=O.[K+].[K+],C1(CC1)C(=O)C=1C=C(OCC2=C(C=CC=C2C)N2N=NN(C2=O)C)C=CC1
OC=1C=C(C=CC1)C(CCCC)=O.Cl.CON.N1=CC=CC=C1.C(O)([O-])=O.[Na+],CON=C(CCC)C=1C=C(C=CC1)O
BrCC1=C(C=CC=C1C)N1N=NN(C1=O)C.C([O-])([O-])=O.[Ca+2].O1CCOCC1,OCC1=C(C=CC=C1C)N1N=NN(C1=O)C
OCC1=C(C=CC=C1C)N1N=NN(C1=O)C.O1CCCC1.[H-].[Na+].BrC1=NC(=CC=C1)Br,BrC1=CC=CC(=N1)OCC1=C(C=CC=C1C)N1N=NN(C1=O)C
C(C)(=O)C=1C=C(C=CC1)O.Cl.CON.Cl.C(O)([O-])=O.[Na+],CON=C(C)C=1C=C(C=CC1)O
ClC1=NC(=CC=C1)C(C)=O.Cl.CON.Cl.C(O)([O-])=O.[Na+],CON=C(C)C1=CC=CC(=N1)Cl
C(C)(=O)C=1C=CC(=C(C1)O)C.Cl.CON.Cl.C(O)([O-])=O.[Na+],CON=C(C)C=1C=C(C(=CC1)C)O
BrCC1=C(C=CC=C1C)N1N=NN(C1=O)C.OC=1C=C(C(=O)OC)C=CC1.C([O-])([O-])=O.[K+].[K+].C(C)#N,COC(=O)C=1C=C(OCC2=C(C=CC=C2C)N2N=NN(C2=O)C)C=CC1
COC(=O)C=1C=C(OCC2=C(C=CC=C2C)N2N=NN(C2=O)C)C=CC1.[BH4-].[Li+].C(O)([O-])=O.[Na+],OCC=1C=C(OCC2=C(C=CC=C2C)N2N=NN(C2=O)C)C=CC1
C(C(=C)C)(=O)OCCCCCCCCCCCC.C(C(=C)C)(=O)O.C(C(=C)C)(=O)OCCOC(C(=C)C)=O.C(CCCCCCCCCCC)(=O)OOC(CCCCCCCCCCC)=O.C(CCCCCCCCCCCCCCCCC)(=O)N(CCS(=O)(=O)O)C.[Na].[OH-].[Na+],C(C(=C)C)(=O)OCCCCCCCCCCCC.C(C(=C)C)(=O)[O-].[Na+]
[OH-].[Na+].[OH-].[Na+].CCC(=O)C(CC(C)N(C)C)(C=1C=CC=CC1)C=2C=CC=CC2.Cl,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2
CCCCC/C=C/C(=O)CCC1=CC(=C(C=C1)O)OC.[BH4-].[Na+],OC1=C(C=C(C=C1)CCC(C=CCCCCC)O)OC
CCCCC/C=C/C(=O)CCC1=CC(=C(C=C1)O)OC.[Na].C(C)(=O)O,COC(CC(CCC1=CC(=C(C=C1)O)OC)=O)CCCCC
CCCCC/C=C/C(=O)CCC1=CC(=C(C=C1)O)OC,OC1=C(C=C(C=C1)CCC(CCCCCCC)=O)OC
CCCCC/C=C/C(=O)CCC1=CC(=C(C=C1)O)OC.C(#N)C1=C(C(=O)C(=C(C1=O)Cl)Cl)C#N.O,OC1=C(C=C(C=C1)\C=C\C(\C=C\CCCCC)=O)OC
C([C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)O.CN1C=2C=CC(=CC2N=C1CCCC(=O)O)N(CCCl)CCCl.Cl,CN1C=2C=CC(=CC2N=C1CCCC(=O)O)N(CCCl)CCCl.C([C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)O
CC=1N=C2N(C=CC=3[C@H]([C@@H]([C@H](NC23)C2=CC=CC=C2)O)O)C1C.S(O)(O)(=O)=O.C(C)O,CC=1N=C2N(C=CC=3[C@H]([C@@H]([C@H](NC23)C2=CC=CC=C2)O)OCC)C1C
CC=1N=C2N(C=CC=3C([C@@H]([C@H](NC23)C2=CC=CC=C2)O)=O)C1C.[BH4-].[Na+],CC=1N=C2N(C=CC=3[C@H]([C@@H]([C@H](NC23)C2=CC=CC=C2)O)O)C1C
BrC=1C(=CC(=C(N)C1)C)F.[Cu]C#N.O.[OH-].[NH4+],NC=1C(=CC(=C(C#N)C1)F)C
NC=1C(=CC(=C(C#N)C1)F)C.C([O-])([O-])=O.[K+].[K+].[I-].[K+].BrCC(=O)C1CC1,C1(CC1)C(CNC=1C(=CC(=C(C#N)C1)F)C)=O
C1(CC1)C(CNC=1C(=CC(=C(C#N)C1)F)C)=O.[S-]C#N.[K+],C1(CC1)C=1N=C(N(C1)C=1C(=CC(=C(C#N)C1)F)C)S
C(C)(=O)O.OO.C1(CC1)C=1N=C(N(C1)C=1C(=CC(=C(C#N)C1)F)C)S.S(=O)([O-])[O-].[Na+].[Na+],C1(CC1)C=1N=CN(C1)C=1C(=CC(=C(C#N)C1)F)C
C1(CC1)C=1N=CN(C1)C=1C(=CC(=C(C#N)C1)F)C.CC(OCC)=O.Cl,Cl.C1(CC1)C=1N=CN(C1)C=1C(=CC(=C(C(=O)O)C1)F)C
Cl.C1(CC1)C=1N=CN(C1)C=1C(=CC(=C(C(=O)O)C1)F)C.C(C(=O)Cl)(=O)Cl.CN(C=O)C.C(C)(C)N1C(=NN=C1)C1=CC=CC(=N1)N.C(C)(C)N1C(=NN=C1)C1=CC=CC(=N1)N.C(=O)(O)[O-].[Na+],C1(CC1)C=1N=CN(C1)C=1C(=CC(=C(C(=O)NC2=NC(=CC=C2)C2=NN=CN2C(C)C)C1)F)C
[Li+].C[Si](C)(C)[N-][Si](C)(C)C.CC1=NC=C(C(=O)OC)C=C1.C(C)(=O)OCC.C([O-])([O-])=O.[K+].[K+],CC1=CC=C(C=N1)C(C)=O
CC1=CC=C(C=N1)C(C)O.[H-].[Na+].COCCl,COCOC(C)C=1C=CC(=NC1)C
COCOC(C)C=1C=CC(=NC1)C.C=O,COCOC(C)C=1C=CC(=NC1)CCO
CS(=O)(=O)Cl.COCOC(C)C=1C=CC(=NC1)CCO.C(C)N(CC)CC,CS(=O)(=O)OCCC1=NC=C(C=C1)C(C)OCOC
CS(=O)(=O)OCCC1=NC=C(C=C1)C(C)OCOC.OC1=CC=C(C=O)C=C1.C([O-])([O-])=O.[K+].[K+].C1(=CC=CC=C1)C,COCOC(C)C=1C=CC(=NC1)CCOC1=CC=C(C=O)C=C1
N1CCCCC1.COCOC(C)C=1C=CC(=NC1)CCOC1=CC=C(C=O)C=C1.S1C(NC(C1)=O)=O,COCOC(C)C=1C=CC(=NC1)CCOC1=CC=C(C=C2C(NC(S2)=O)=O)C=C1
[BH4-].[Na+].COCOC(C)C=1C=CC(=NC1)CCOC1=CC=C(C=C2C(NC(S2)=O)=O)C=C1.CC(C(=NO)C)=NO.O1CCCC1.[BH4-].[Na+],COCOC(C)C=1C=CC(=NC1)CCOC1=CC=C(CC2C(NC(S2)=O)=O)C=C1
ClC=1C=C(C=CC1)[C@H]([C@@H]1N([C@@H](CC1)CC1=CC=C(C=C1)C(=O)OCC)C(=O)OC(C)(C)C)O.CO.C(CC(O)(C(=O)O)CC(=O)O)(=O)O,C(C)(C)(C)OC(=O)N1[C@@H](CC[C@@H]1[C@H](O)C1=CC(=CC=C1)Cl)CC1=CC=C(C(=O)O)C=C1
FC(OC1=CC=C(C(=O)O)C=C1)F.S(=O)(Cl)Cl,FC(OC1=CC=C(C(=O)Cl)C=C1)F
SC1=NC=CC=C1.FC(OC1=CC=C(C(=O)Cl)C=C1)F,FC(OC1=CC=C(C(SC2=NC=CC=C2)=O)C=C1)F
N1C=CC=C1.C(C)(C)[Mg]Br.BrCC1=CC=C(C(=O)OC)C=C1,N1C(=CC=C1)CC1=CC=C(C(=O)OC)C=C1
C(C)(C)[Mg]Cl.N1C(=CC=C1)CC1=CC=C(C(=O)OC)C=C1.FC(OC1=CC=C(C(SC2=NC=CC=C2)=O)C=C1)F,FC(OC1=CC=C(C(=O)C2=CC=C(N2)CC2=CC=C(C(=O)OC)C=C2)C=C1)F
FC(OC1=CC=C(C(=O)C=2N(C(=CC2)CC2=CC=C(C=C2)C(=O)OC)C(=O)OC(C)(C)C)C=C1)F,FC(OC1=CC=C(C=C1)C(C=1N(C(=CC1)CC1=CC=C(C=C1)C(=O)OC)C(=O)OC(C)(C)C)O)F
FC(OC1=CC=C(C=C1)C(C=1N(C(=CC1)CC1=CC=C(C=C1)C(=O)OC)C(=O)OC(C)(C)C)O)F,FC(OC1=CC=C(C=C1)C(C1N(C(CC1)CC1=CC=C(C=C1)C(=O)OC)C(=O)OC(C)(C)C)O)F
[Na].C[O-].[Na+].C(C)(C)(C)OC(=O)N1[C@@H](CC[C@@H]1[C@@H](C=1C=NC(=CC1)Cl)O[Si](C)(C)C(C)(C)C)CC1=CC=C(C(=O)O)C=C1,C(C)(C)(C)OC(=O)N1[C@@H](CC[C@@H]1[C@@H](C=1C=NC(=CC1)OC)O[Si](C)(C)C(C)(C)C)CC1=CC=C(C(=O)O)C=C1
SC1=NC=CC=C1.FC1=NC=C(C(=O)Cl)C=C1,FC1=CC=C(C=N1)C(SC1=NC=CC=C1)=O
[Na].BrC1=NC(=CC=C1)Br.CO,BrC1=NC(=CC=C1)OC
BrC1=NC(=CC=C1)OC.C([O-])([O-])=O.[Na+].[Na+].CC1(OB(OC1(C)C)C=C)C,COC1=NC(=CC=C1)C=C
COC1=NC(=CC=C1)C=C.ClC1=CC(=CC=C1)C(=O)OO,COC1=NC(=CC=C1)C1OC1
CC1=NNC(=C1)C(=O)OCC.[Li+].[OH-],CC1=NNC(=C1)C(=O)O
CC1=NNC(=C1)C(=O)O.CN(C)C=O.CCN=C=NCCCN(C)C.Cl.CCN(C(C)C)C(C)C.C=1C=CC2=C(C1)N=NN2O,CON(C(=O)C1=CC(=NN1)C)C
CON(C(=O)C1=CC(=NN1)C)C.C(C)[Mg]Br,CC1=NNC(=C1)C(CC)=O
CC1=NNC(=C1)C(CC)=O.CN.[BH4-].[Na+].C(C)N(CC)CC.C(=O)(OC(C)(C)C)OC(=O)OC(C)(C)C,CN(C(OC(C)(C)C)=O)C(CC)C1=CC(=NN1)C
[H-].[Al+3].[Li+].[H-].[H-].[H-].C(C)(C)C1=NNC(=C1)C(=O)NC,C(C)(C)C1=CC(=NN1)CNC
COCC1=NNC(=C1)CO.S(=O)(Cl)Cl.CO,ClCC1=CC(=NN1)COC
CNCC1=NNC(=C1)C(F)(F)F.C1(CC1)C1=CC(=NN1)CNC.FC(C1=NNC(=C1)C(=O)O)(F)F,COCC1=CC(=NN1)CNC
OC1=CC(=NN1)C(=O)OCC.C([O-])([O-])=O.[K+].[K+].C(C)I.O,C(C)OC1=CC(=NN1)C(=O)OCC
C(C)OC1=CC(=NN1)C(=O)OCC.C(C)(C)C1=NNC(=C1)C(=O)NC,C(C)OC1=CC(=NN1)C(=O)NC
C(C)OC1=CC(=NN1)C(=O)NC.C(C)(C)C1=CC(=NN1)CNC.C(C)(C)C1=NNC(=C1)C(=O)NC,C(C)OC1=CC(=NN1)CNC
OC=1C(=NNC1C)C(=O)OC.C(C)(C)C1=NNC(=C1)C(=O)NC,OC=1C(=NNC1C)C(=O)NC
OC=1C(=NNC1C)C(=O)NC.B.CSC.Cl,CC1=C(C(=NN1)CNC)O
ClC=1C(=NNC1C)C(=O)NC.C(C)(C)C1=CC(=NN1)CNC.C(C)(C)C1=NNC(=C1)C(=O)NC,ClC=1C(=NNC1C)CNC
FC1=NC=CC=C1C=O.CN.C(C)(=O)O.[BH3-]C#N.[Na+],FC1=NC=CC=C1CNC
BrC=1C=C(C=NC1)CN(C(OC(C)(C)C)=O)C.C(C)(=O)[O-].[Na+].CO,C(C)(C)(C)OC(=O)N(C)CC=1C=NC=C(C(=O)OC)C1
C(C)(C)(C)OC(=O)N(C)CC=1C=NC=C(C(=O)OC)C1.[Li+].[BH4-],OCC=1C=C(C=NC1)CN(C(OC(C)(C)C)=O)C
OCC=1C=C(C=NC1)CN(C(OC(C)(C)C)=O)C.CC(=O)OI1(C=2C=CC=CC2C(=O)O1)(OC(=O)C)OC(=O)C,C(=O)C=1C=C(C=NC1)CN(C(OC(C)(C)C)=O)C
C(=O)C=1C=C(C=NC1)CN(C(OC(C)(C)C)=O)C.C[Mg+].[Br-],OC(C)C=1C=C(C=NC1)CN(C(OC(C)(C)C)=O)C
OC(C)C=1C=C(C=NC1)CN(C(OC(C)(C)C)=O)C.CNC(CC)C1=NNC(=C1)C.CN(C(OC(C)(C)C)=O)C(CC)C1=CC(=NN1)C,CNCC=1C=C(C=NC1)C(C)O
FC(C(=O)N(CC=1NC(C2=C(N1)C=CS2)=O)C)(F)F.C(=O)([O-])[O-].[K+].[K+],CNCC=1NC(C2=C(N1)C=CS2)=O
BrC=1C(=C(C(=O)O)C=CC1)F.OS(=O)(=O)O.C(C)O,BrC=1C(=C(C(=O)OCC)C=CC1)F
BrC=1C(=C(C(=O)OCC)C=CC1)F.COC1=CC=C(C=C1)CS.C(C)(C)N(CC)C(C)C,FC1=C(C(=O)OCC)C=CC=C1SCC1=CC=C(C=C1)OC
FC1=C(C(=O)OCC)C=CC=C1SCC1=CC=C(C=C1)OC,FC1=C(C(=O)OCC)C=CC=C1S
ClC1=CC=C2CC(NC2=C1)=O.CN(C1=CC=CC=C1)C.O=P(Cl)(Cl)Cl,ClC=1NC2=CC(=CC=C2C1)Cl
ClC=1NC2=CC(=CC=C2C1)Cl.BrC=1C=NN(C1)CCC.BrC=1C=NN(C1)CCC.P(=O)([O-])([O-])[O-].[K+].[K+].[K+].CNCCNC,ClC=1N(C2=CC(=CC=C2C1)Cl)C=1C=NN(C1)CCC
ClC1=CC=C2CC(NC2=C1)=O.CNCCNC.P(=O)([O-])([O-])[O-].[K+].[K+].[K+].BrC=1C=NN(C1)CCC.BrC=1C=NN(C1)CCC,ClC1=CC=C2C=CN(C2=C1)C=1C=NN(C1)CCC
BrC=1N(C2=CC(=CC=C2C1SC=1C=C(C(=O)OCC)C=CC1)Cl)C=1C=NN(C1)CCC.C1(CC1)B(O)O.CC(=O)[O-].[K+],ClC1=CC=C2C(=C(N(C2=C1)C=1C=NN(C1)CCC)C1CC1)SC=1C=C(C(=O)OCC)C=CC1
ClC1=CC=C2C=CNC2=C1F.CNCCNC.P(=O)([O-])([O-])[O-].[K+].[K+].[K+].BrC=1C=NN(C1)CCC.BrC=1C=NN(C1)CCC,ClC1=CC=C2C=CN(C2=C1F)C=1C=NN(C1)CCC
SC=1C=C(C(=O)OCC)C=CC1.C1CC(=O)N(C1=O)Cl.ClC1=CC=C2C=CN(C2=C1F)C=1C=NN(C1)CCC,ClC1=CC=C2C(=CN(C2=C1F)C=1C=NN(C1)CCC)SC=1C=C(C(=O)OCC)C=CC1
ClC1=CC=C2C(=CN(C2=C1F)C=1C=NN(C1)CCC)SC=1C=C(C(=O)OCC)C=CC1.C1CC(=O)N(C1=O)Cl.C1CC(=O)N(C1=O)Cl,ClC=1N(C2=C(C(=CC=C2C1SC=1C=C(C(=O)OCC)C=CC1)Cl)F)C=1C=NN(C1)CCC
BrC=1N(C2=C(C(=CC=C2C1SC=1C=C(C(=O)OCC)C=CC1)Cl)F)C=1C=NN(C1)CCC.CC(=O)[O-].[K+].C1(CC1)B(O)O,ClC1=CC=C2C(=C(N(C2=C1F)C=1C=NN(C1)CCC)C1CC1)SC=1C=C(C(=O)OCC)C=CC1
ClC1=CC=C2C(=CN(C2=C1F)C=1C=NN(C1)CCC)SC=1C(=C(C(=O)OCC)C=CC1)F.C1CC(=O)N(C1=O)Br,BrC=1N(C2=C(C(=CC=C2C1SC=1C(=C(C(=O)OCC)C=CC1)F)Cl)F)C=1C=NN(C1)CCC
BrC=1N(C2=C(C(=CC=C2C1SC=1C(=C(C(=O)OCC)C=CC1)F)Cl)F)C=1C=NN(C1)CCC.C1(CC1)B(O)O.CC(=O)[O-].[K+],ClC1=CC=C2C(=C(N(C2=C1F)C=1C=NN(C1)CCC)C1CC1)SC=1C(=C(C(=O)OCC)C=CC1)F
ClC1=CC=C2C(=CN(C2=C1F)C=1C=NN(C1)CCC)SC=1C(=C(C(=O)OCC)C=CC1)F.C1CC(=O)N(C1=O)Cl.C1CC(=O)N(C1=O)Cl,ClC=1N(C2=C(C(=CC=C2C1SC=1C(=C(C(=O)OCC)C=CC1)F)Cl)F)C=1C=NN(C1)CCC
[Al+3].[Cl-].[Cl-].[Cl-].B(Cl)(Cl)Cl.ClC1=CC=C2C(=CN(C2=C1F)C=1C=NN(C1)CCC)SC=1C(=C(C(=O)OCC)C=CC1)F.ClCC#N.Cl.O,NC1=C(C=CC(=C1F)Cl)C(CCl)=O
NC1=C(C=CC(=C1F)Cl)C(CCl)=O.C1(CC1)[Mg]Br,ClC1=CC=C2C=C(NC2=C1F)C1CC1
ClC1=CC=C2C=C(NC2=C1F)C1CC1.BrC=1C=NN(C1)CC.P(=O)([O-])([O-])[O-].[K+].[K+].[K+].CNCCNC,ClC1=CC=C2C=C(N(C2=C1F)C=1C=NN(C1)CC)C1CC1
BrC=1C(=C(C(=O)O)C=CC1)F.OS(=O)(=O)O.C(C)O,BrC=1C(=C(C(=O)OCC)C=CC1)F
BrC=1C(=C(C(=O)OCC)C=CC1)F.COC1=CC=C(C=C1)CS.C(C)(C)N(CC)C(C)C,FC1=C(C(=O)OCC)C=CC=C1SCC1=CC=C(C=C1)OC
FC1=C(C(=O)OCC)C=CC=C1SCC1=CC=C(C=C1)OC,FC1=C(C(=O)OCC)C=CC=C1S
FC1=C(C(=O)OCC)C=CC=C1S.C1CC(=O)N(C1=O)Cl.ClC1=CC=C2C=C(N(C2=C1F)C=1C=NN(C1)CC)C1CC1,ClC1=CC=C2C(=C(N(C2=C1F)C=1C=NN(C1)CC)C1CC1)SC=1C(=C(C(=O)OCC)C=CC1)F
ClC1=CC=C2C=CNC2=C1F.BrC=1C=NN(C1)CC.P(=O)([O-])([O-])[O-].[K+].[K+].[K+].CNCCNC,ClC1=CC=C2C=CN(C2=C1F)C=1C=NN(C1)CC
ClC1=CC=C2C(=CN(C2=C1F)C=1C=NN(C1)CC)SC=1C(=C(C(=O)OCC)C=CC1)F.C1CC(=O)N(C1=O)Br,BrC=1N(C2=C(C(=CC=C2C1SC=1C(=C(C(=O)OCC)C=CC1)F)Cl)F)C=1C=NN(C1)CC
BrC=1N(C2=C(C(=CC=C2C1SC=1C(=C(C(=O)OCC)C=CC1)F)Cl)F)C=1C=NN(C1)CC.C1(CC1)B(O)O.C1(CCCCC1)P(C1CCCCC1)C1CCCCC1.P(=O)([O-])([O-])[O-].[K+].[K+].[K+],ClC1=CC=C2C(=C(N(C2=C1F)C=1C=NN(C1)CC)C1CC1)SC=1C(=C(C(=O)OCC)C=CC1)F
[Al+3].[Cl-].[Cl-].[Cl-].B(Cl)(Cl)Cl.ClC1=CC=C2C(=CN(C2=C1F)C=1C=NN(C1)CCC)SC=1C(=C(C(=O)OCC)C=CC1)F.ClCC#N.Cl.O,NC1=C(C=CC(=C1F)Cl)C(CCl)=O
NC1=C(C=CC(=C1F)Cl)C(CCl)=O.C1(CC1)[Mg]Br,ClC1=CC=C2C=C(NC2=C1F)C1CC1
ClC1=CC=C2C=C(NC2=C1F)C1CC1.BrC=1C=NN(C1)CC.P(=O)([O-])([O-])[O-].[K+].[K+].[K+].CNCCNC,ClC1=CC=C2C=C(N(C2=C1F)C=1C=NN(C1)CC)C1CC1
SC1=CC=CC(=N1)C(=O)OC.C1CC(=O)N(C1=O)Cl.ClC1=CC=C2C=C(N(C2=C1F)C=1C=NN(C1)CC)C1CC1,ClC1=CC=C2C(=C(N(C2=C1F)C=1C=NN(C1)CC)C1CC1)SC1=CC=CC(=N1)C(=O)OC
ClC1=CC=C2C(=C(N(C2=C1F)C=1C=NN(C1)CC)C1CC1)SC1=CC=CC(=N1)C(=O)OC.[OH-].[Na+],ClC1=CC=C2C(=C(N(C2=C1F)C=1C=NN(C1)CC)C1CC1)SC1=CC=CC(=N1)C(=O)O
ClC1=CC=C2C(=C(N(C2=C1F)C=1C=NN(C1)COCC[Si](C)(C)C)C1CC1)SC=1C(=C(C(=O)OCC)C=CC1)F.Cl.CCN(CC)CC.CCCCC,ClC1=CC=C2C(=C(N(C2=C1F)C=1C=NNC1)C1CC1)SC=1C(=C(C(=O)OCC)C=CC1)F
ClC1=CC=C2C(=CN(C2=C1F)C=1C=NN(C1)CCC)SC=1C(=C(C(=O)OCC)C=CC1)F.C(=O)([O-])[O-].[Cs+].[Cs+].BrCCO.O,ClC1=CC=C2C(=C(N(C2=C1F)C=1C=NN(C1)CCO)C1CC1)SC=1C(=C(C(=O)OCC)C=CC1)F
ClC1=CC=C2C(=C(N(C2=C1F)C=1C=NN(C1)CCO)C1CC1)SC=1C(=C(C(=O)OCC)C=CC1)F.N.C1CCOC1,C(N)(=O)OCCN1N=CC(=C1)N1C(=C(C2=CC=C(C(=C12)F)Cl)SC=1C(=C(C(=O)OCC)C=CC1)F)C1CC1
